"ECACC No ","depositor","Depositor Cell Line Name","hESCreg Cell Line Name","BioSamples Cell Line ID","Batch","Biosamples Batch ID","Batch Type","EBiSC Internal ID","Comments","Status","Tracking Number ","Action needed"
,"Bioneer","OPPG-94 47-1","BIONi009-A","SAMEA3105737","P001","SAMEG301525","depositor",,,,,
66540022,"Bioneer","K1P53","BIONi010-A","SAMEA3105765","P001","SAMEG301526","depositor",,,,,
66540030,"Bioneer","K2P53","BIONi010-B","SAMEA3158000","P001","SAMEG301537","depositor",,,,,
66540023,"Bioneer","K3P53","BIONi010-C","SAMEA3158050","P001","SAMEG301538","depositor",,,,,
66540229,"Bioneer","BIONi010-C ApoE E4/E4 O7","BIONi010-C-1","SAMEA4303203","P001","SAMEG313532","depositor",,,,,
66540268,"Bioneer","BIONi010-C-2 ApoE E3/E3 H8 P32","BIONi010-C-2","SAMEA4342705","P001","SAMEG314740","depositor",,,,,
66540269,"Bioneer","BIONi010-C-3 ApoE KO KO30 P30","BIONi010-C-3","SAMEA4342740","P001","SAMEG314741","depositor",,,,,
66540366,"Bioneer","BIONi010-C ApoE E4/E4 #B44 P27","BIONi010-C-4","SAMEA4452060","P001","SAMEG315913","depositor",,,,,
66540367,"Bioneer","BIONi010-C CD33 E2del #14 P26","BIONi010-C-5","SAMEA4452061","P001","SAMEG316078","depositor",,,,,
66540368,"Bioneer","BIONi010-C ApoE E2/E2","BIONi010-C-6","SAMEA4454009","P001","SAMEG316120","depositor",,,,,
66540369,"Bioneer","BIONi010-C Trem2 R47H","BIONi010-C-7","SAMEA4454010","P001","SAMEG316121","depositor",,,,,
66540370,"Bioneer","BIONi010-C Trem2 T66M","BIONi010-C-8","SAMEA4454011","P001","SAMEG316122","depositor",,,,,
66540371,"Bioneer","BIONi010-C CD33 KO","BIONi010-C-9","SAMEA4454012","P001","SAMEG316123","depositor",,,,,
66540262,"Bioneer","H170615 C2","BIONi011-A","SAMEA4342428","P001","SAMEG314734","depositor",,,,,
66540263,"Bioneer","H230715 47-1","BIONi012-A","SAMEA4342434","P001","SAMEG314735","depositor",,,,,
66540264,"Bioneer","H240715 47-1","BIONi013-A","SAMEA4342502","P001","SAMEG314736","depositor",,,,,
66540265,"Bioneer","H270715 47-1","BIONi014-A","SAMEA4342566","P001","SAMEG314737","depositor",,,,,
66540266,"Bioneer","H280715 47-1","BIONi015-A","SAMEA4342649","P001","SAMEG314739","depositor",,,,,
66540267,"Bioneer","H310715 47-1","BIONi016-A ","SAMEA4342607","P001","SAMEG314738","depositor",,,,,
66540360,"Bioneer","H030815 47-1","BIONi017-A","SAMEA4451663","P001","SAMEG315874","depositor",,,,,
66540361,"Bioneer","H050815 48-4","BIONi018-A","SAMEA4451665","P001","SAMEG315875","depositor",,,,,
66540362,"Bioneer","H060815 48-3","BIONi019-A","SAMEA4451667","P001","SAMEG315876","depositor",,,,,
66540363,"Bioneer","H070815 47-2","BIONi020-A","SAMEA4451669","P001","SAMEG315877","depositor",,,,,
66540364,"Bioneer","H100815 48-2","BIONi021-A","SAMEA4451671","P001","SAMEG315878","depositor",,,,,
66540365,"Bioneer","H110815 47-2","BIONi022-A","SAMEA4451673","P001","SAMEG315879","depositor",,,,,
66540372,"Bioneer","H130815 47-4","BIONi023-A","SAMEA4454014","P001","SAMEG316124","depositor",,,,,
66540373,"Bioneer","H170815 47-2","BIONi024-A","SAMEA4454016","P001","SAMEG316125","depositor",,,,,
66540374,"Bioneer","H210815 48-3","BIONi025-A ","SAMEA4454017","P001","SAMEG316126","depositor",,,,,
66540399,"Bioneer","H300715 48-3","BIONi026-A","SAMEA4455497","P001","SAMEG316150","depositor",,,,,
66540400,"Bioneer","H040815 48-1","BIONi027-A","SAMEA4455499","P001","SAMEG316151","depositor",,,,,
66540401,"Bioneer","H120815 48-1","BIONi028-A","SAMEA4455501","P001","SAMEG316152","depositor",,,,,
66540402,"Bioneer","H190815 47-1","BIONi029-A","SAMEA4455503","P001","SAMEG316153","depositor",,,,,
66540403,"Bioneer","H200815 47-1","BIONi030-A","SAMEA4455505","P001","SAMEG316154","depositor",,,,,
66540404,"Bioneer","H240815 48-2","BIONi031-A","SAMEA4455507","P001","SAMEG316155","depositor",,,,,
66540405,"Bioneer","H250815 48-1","BIONi032-A ","SAMEA4455509","P001","SAMEG316156","depositor",,,,,
66540423,"Bioneer","H180615","BIONi033-A","SAMEA4563389","P001","SAMEG316812","depositor",,,,,
66540424,"Bioneer","H290715","BIONi034-A ","SAMEA4563391","P001","SAMEG316813","depositor",,,,,
66540425,"Bioneer","H180815 ","BIONi035-A ","SAMEA4563393","P001","SAMEG316814","depositor",,,,,
66540058,"EDIN","AST22, AST23","EDi001-A","SAMEA3319992","P001","SAMEG301696","central_facility",,,,,
66540166,"EDIN","AST22-C, AST23-C","EDi001-A-1","SAMEA3323836","P001","SAMEG301692","central_facility",,,,,
66540167,"EDIN","AST22_SNCAKO clone 3, AST23_SNCAKO Clone 3","EDi001-A-2","SAMEA3323846","P001","SAMEG301693","central_facility",,,,,
