vial	vial name	vial sub	line	line sub	hESCreg	donor	donor sub	batch
SAMEA3105732	BIONi009-A vial 01	GSB-132	SAMEA3105737	GSB-132	BIONi009-A	SAMEA3105756	GSB-132	SAMEG301525
SAMEA3105717	BIONi009-A vial 02	GSB-132	SAMEA3105737	GSB-132	BIONi009-A	SAMEA3105756	GSB-132	SAMEG301525
SAMEA3105748	BIONi009-A vial 03	GSB-132	SAMEA3105737	GSB-132	BIONi009-A	SAMEA3105756	GSB-132	SAMEG301525
SAMEA3105738	BIONi009-A vial 04	GSB-132	SAMEA3105737	GSB-132	BIONi009-A	SAMEA3105756	GSB-132	SAMEG301525
SAMEA3105726	BIONi009-A vial 05	GSB-132	SAMEA3105737	GSB-132	BIONi009-A	SAMEA3105756	GSB-132	SAMEG301525
SAMEA3105725	BIONi009-A vial 06	GSB-132	SAMEA3105737	GSB-132	BIONi009-A	SAMEA3105756	GSB-132	SAMEG301525
SAMEA3105710	BIONi009-A vial 07	GSB-132	SAMEA3105737	GSB-132	BIONi009-A	SAMEA3105756	GSB-132	SAMEG301525
SAMEA3105750	BIONi009-A vial 08	GSB-132	SAMEA3105737	GSB-132	BIONi009-A	SAMEA3105756	GSB-132	SAMEG301525
SAMEA3105745	BIONi009-A vial 09	GSB-132	SAMEA3105737	GSB-132	BIONi009-A	SAMEA3105756	GSB-132	SAMEG301525
SAMEA3105744	BIONi009-A vial 10	GSB-132	SAMEA3105737	GSB-132	BIONi009-A	SAMEA3105756	GSB-132	SAMEG301525
SAMEA3105733	BIONi009-A vial 11	GSB-132	SAMEA3105737	GSB-132	BIONi009-A	SAMEA3105756	GSB-132	SAMEG301525
SAMEA3105755	BIONi009-A vial 12	GSB-132	SAMEA3105737	GSB-132	BIONi009-A	SAMEA3105756	GSB-132	SAMEG301525
SAMEA3105736	BIONi009-A vial 13	GSB-132	SAMEA3105737	GSB-132	BIONi009-A	SAMEA3105756	GSB-132	SAMEG301525
SAMEA3105757	BIONi009-A vial 14	GSB-132	SAMEA3105737	GSB-132	BIONi009-A	SAMEA3105756	GSB-132	SAMEG301525
SAMEA3105718	BIONi009-A vial 15	GSB-132	SAMEA3105737	GSB-132	BIONi009-A	SAMEA3105756	GSB-132	SAMEG301525
SAMEA3105728	BIONi009-A vial 16	GSB-132	SAMEA3105737	GSB-132	BIONi009-A	SAMEA3105756	GSB-132	SAMEG301525
SAMEA3105721	BIONi009-A vial 17	GSB-132	SAMEA3105737	GSB-132	BIONi009-A	SAMEA3105756	GSB-132	SAMEG301525
SAMEA3105735	BIONi009-A vial 18	GSB-132	SAMEA3105737	GSB-132	BIONi009-A	SAMEA3105756	GSB-132	SAMEG301525
SAMEA3105749	BIONi009-A vial 19	GSB-132	SAMEA3105737	GSB-132	BIONi009-A	SAMEA3105756	GSB-132	SAMEG301525
SAMEA3105753	BIONi009-A vial 20	GSB-132	SAMEA3105737	GSB-132	BIONi009-A	SAMEA3105756	GSB-132	SAMEG301525
SAMEA3105739	BIONi009-A vial 21	GSB-132	SAMEA3105737	GSB-132	BIONi009-A	SAMEA3105756	GSB-132	SAMEG301525
SAMEA3105740	BIONi009-A vial 22	GSB-132	SAMEA3105737	GSB-132	BIONi009-A	SAMEA3105756	GSB-132	SAMEG301525
SAMEA3105730	BIONi009-A vial 23	GSB-132	SAMEA3105737	GSB-132	BIONi009-A	SAMEA3105756	GSB-132	SAMEG301525
SAMEA3105714	BIONi009-A vial 24	GSB-132	SAMEA3105737	GSB-132	BIONi009-A	SAMEA3105756	GSB-132	SAMEG301525
SAMEA3105754	BIONi009-A vial 25	GSB-132	SAMEA3105737	GSB-132	BIONi009-A	SAMEA3105756	GSB-132	SAMEG301525
SAMEA3105734	BIONi009-A vial 26	GSB-132	SAMEA3105737	GSB-132	BIONi009-A	SAMEA3105756	GSB-132	SAMEG301525
SAMEA3105719	BIONi009-A vial 27	GSB-132	SAMEA3105737	GSB-132	BIONi009-A	SAMEA3105756	GSB-132	SAMEG301525
SAMEA3105731	BIONi009-A vial 28	GSB-132	SAMEA3105737	GSB-132	BIONi009-A	SAMEA3105756	GSB-132	SAMEG301525
SAMEA3105715	BIONi009-A vial 29	GSB-132	SAMEA3105737	GSB-132	BIONi009-A	SAMEA3105756	GSB-132	SAMEG301525
SAMEA3105758	BIONi009-A vial 30	GSB-132	SAMEA3105737	GSB-132	BIONi009-A	SAMEA3105756	GSB-132	SAMEG301525
SAMEA3105741	BIONi009-A vial 31	GSB-132	SAMEA3105737	GSB-132	BIONi009-A	SAMEA3105756	GSB-132	SAMEG301525
SAMEA3105729	BIONi009-A vial 32	GSB-132	SAMEA3105737	GSB-132	BIONi009-A	SAMEA3105756	GSB-132	SAMEG301525
SAMEA3105723	BIONi009-A vial 33	GSB-132	SAMEA3105737	GSB-132	BIONi009-A	SAMEA3105756	GSB-132	SAMEG301525
SAMEA3105711	BIONi009-A vial 34	GSB-132	SAMEA3105737	GSB-132	BIONi009-A	SAMEA3105756	GSB-132	SAMEG301525
SAMEA3105752	BIONi009-A vial 35	GSB-132	SAMEA3105737	GSB-132	BIONi009-A	SAMEA3105756	GSB-132	SAMEG301525
SAMEA3105742	BIONi009-A vial 36	GSB-132	SAMEA3105737	GSB-132	BIONi009-A	SAMEA3105756	GSB-132	SAMEG301525
SAMEA3105720	BIONi009-A vial 37	GSB-132	SAMEA3105737	GSB-132	BIONi009-A	SAMEA3105756	GSB-132	SAMEG301525
SAMEA3105709	BIONi009-A vial 38	GSB-132	SAMEA3105737	GSB-132	BIONi009-A	SAMEA3105756	GSB-132	SAMEG301525
SAMEA3105716	BIONi009-A vial 39	GSB-132	SAMEA3105737	GSB-132	BIONi009-A	SAMEA3105756	GSB-132	SAMEG301525
SAMEA3105746	BIONi009-A vial 40	GSB-132	SAMEA3105737	GSB-132	BIONi009-A	SAMEA3105756	GSB-132	SAMEG301525
SAMEA3105760	BIONi009-A vial 41	GSB-132	SAMEA3105737	GSB-132	BIONi009-A	SAMEA3105756	GSB-132	SAMEG301525
SAMEA3105713	BIONi009-A vial 42	GSB-132	SAMEA3105737	GSB-132	BIONi009-A	SAMEA3105756	GSB-132	SAMEG301525
SAMEA3105727	BIONi009-A vial 43	GSB-132	SAMEA3105737	GSB-132	BIONi009-A	SAMEA3105756	GSB-132	SAMEG301525
SAMEA3105724	BIONi009-A vial 44	GSB-132	SAMEA3105737	GSB-132	BIONi009-A	SAMEA3105756	GSB-132	SAMEG301525
SAMEA3105759	BIONi009-A vial 45	GSB-132	SAMEA3105737	GSB-132	BIONi009-A	SAMEA3105756	GSB-132	SAMEG301525
SAMEA3105747	BIONi009-A vial 46	GSB-132	SAMEA3105737	GSB-132	BIONi009-A	SAMEA3105756	GSB-132	SAMEG301525
SAMEA3105722	BIONi009-A vial 47	GSB-132	SAMEA3105737	GSB-132	BIONi009-A	SAMEA3105756	GSB-132	SAMEG301525
SAMEA3105712	BIONi009-A vial 48	GSB-132	SAMEA3105737	GSB-132	BIONi009-A	SAMEA3105756	GSB-132	SAMEG301525
SAMEA3105751	BIONi009-A vial 49	GSB-132	SAMEA3105737	GSB-132	BIONi009-A	SAMEA3105756	GSB-132	SAMEG301525
SAMEA3105743	BIONi009-A vial 50	GSB-132	SAMEA3105737	GSB-132	BIONi009-A	SAMEA3105756	GSB-132	SAMEG301525
SAMEA3105767	BIONi010-A vial 01	GSB-133	SAMEA3105765	GSB-133	BIONi010-A	SAMEA3105780	GSB-133	SAMEG301526
SAMEA3105806	BIONi010-A vial 02	GSB-133	SAMEA3105765	GSB-133	BIONi010-A	SAMEA3105780	GSB-133	SAMEG301526
SAMEA3105808	BIONi010-A vial 03	GSB-133	SAMEA3105765	GSB-133	BIONi010-A	SAMEA3105780	GSB-133	SAMEG301526
SAMEA3105798	BIONi010-A vial 04	GSB-133	SAMEA3105765	GSB-133	BIONi010-A	SAMEA3105780	GSB-133	SAMEG301526
SAMEA3105786	BIONi010-A vial 05	GSB-133	SAMEA3105765	GSB-133	BIONi010-A	SAMEA3105780	GSB-133	SAMEG301526
SAMEA3105766	BIONi010-A vial 06	GSB-133	SAMEA3105765	GSB-133	BIONi010-A	SAMEA3105780	GSB-133	SAMEG301526
SAMEA3105812	BIONi010-A vial 07	GSB-133	SAMEA3105765	GSB-133	BIONi010-A	SAMEA3105780	GSB-133	SAMEG301526
SAMEA3105796	BIONi010-A vial 08	GSB-133	SAMEA3105765	GSB-133	BIONi010-A	SAMEA3105780	GSB-133	SAMEG301526
SAMEA3105778	BIONi010-A vial 09	GSB-133	SAMEA3105765	GSB-133	BIONi010-A	SAMEA3105780	GSB-133	SAMEG301526
SAMEA3105792	BIONi010-A vial 10	GSB-133	SAMEA3105765	GSB-133	BIONi010-A	SAMEA3105780	GSB-133	SAMEG301526
SAMEA3105809	BIONi010-A vial 11	GSB-133	SAMEA3105765	GSB-133	BIONi010-A	SAMEA3105780	GSB-133	SAMEG301526
SAMEA3105769	BIONi010-A vial 12	GSB-133	SAMEA3105765	GSB-133	BIONi010-A	SAMEA3105780	GSB-133	SAMEG301526
SAMEA3105785	BIONi010-A vial 13	GSB-133	SAMEA3105765	GSB-133	BIONi010-A	SAMEA3105780	GSB-133	SAMEG301526
SAMEA3105773	BIONi010-A vial 14	GSB-133	SAMEA3105765	GSB-133	BIONi010-A	SAMEA3105780	GSB-133	SAMEG301526
SAMEA3105782	BIONi010-A vial 15	GSB-133	SAMEA3105765	GSB-133	BIONi010-A	SAMEA3105780	GSB-133	SAMEG301526
SAMEA3105771	BIONi010-A vial 16	GSB-133	SAMEA3105765	GSB-133	BIONi010-A	SAMEA3105780	GSB-133	SAMEG301526
SAMEA3105802	BIONi010-A vial 17	GSB-133	SAMEA3105765	GSB-133	BIONi010-A	SAMEA3105780	GSB-133	SAMEG301526
SAMEA3105788	BIONi010-A vial 18	GSB-133	SAMEA3105765	GSB-133	BIONi010-A	SAMEA3105780	GSB-133	SAMEG301526
