"vial","vial name now","line","donor","batch","batch name","batch type"
"SAMEA103883939","UKKi023-A vial 01","SAMEA17630668","SAMEA17631418","SAMEG317574","P001","depositor"
"SAMEA103883925","UKKi023-A vial 02","SAMEA17630668","SAMEA17631418","SAMEG317574","P001","depositor"
"SAMEA103883935","UKKi023-A vial 03","SAMEA17630668","SAMEA17631418","SAMEG317574","P001","depositor"
"SAMEA103883921","UKKi023-A vial 04","SAMEA17630668","SAMEA17631418","SAMEG317574","P001","depositor"
"SAMEA103883932","UKKi023-A vial 05","SAMEA17630668","SAMEA17631418","SAMEG317574","P001","depositor"
"SAMEA103883943","UKKi023-A vial 06","SAMEA17630668","SAMEA17631418","SAMEG317574","P001","depositor"
"SAMEA103883928","UKKi023-A vial 07","SAMEA17630668","SAMEA17631418","SAMEG317574","P001","depositor"
"SAMEA103883938","UKKi023-A vial 08","SAMEA17630668","SAMEA17631418","SAMEG317574","P001","depositor"
"SAMEA103883923","UKKi023-A vial 09","SAMEA17630668","SAMEA17631418","SAMEG317574","P001","depositor"
"SAMEA103883931","UKKi023-A vial 10","SAMEA17630668","SAMEA17631418","SAMEG317574","P001","depositor"
"SAMEA103883942","UKKi023-A vial 11","SAMEA17630668","SAMEA17631418","SAMEG317574","P001","depositor"
"SAMEA103883927","UKKi023-A vial 12","SAMEA17630668","SAMEA17631418","SAMEG317574","P001","depositor"
"SAMEA103883937","UKKi023-A vial 13","SAMEA17630668","SAMEA17631418","SAMEG317574","P001","depositor"
"SAMEA103883922","UKKi023-A vial 14","SAMEA17630668","SAMEA17631418","SAMEG317574","P001","depositor"
"SAMEA103883934","UKKi023-A vial 15","SAMEA17630668","SAMEA17631418","SAMEG317574","P001","depositor"
"SAMEA103883945","UKKi023-A vial 16","SAMEA17630668","SAMEA17631418","SAMEG317574","P001","depositor"
"SAMEA103883930","UKKi023-A vial 17","SAMEA17630668","SAMEA17631418","SAMEG317574","P001","depositor"
"SAMEA103883941","UKKi023-A vial 18","SAMEA17630668","SAMEA17631418","SAMEG317574","P001","depositor"
"SAMEA103883926","UKKi023-A vial 19","SAMEA17630668","SAMEA17631418","SAMEG317574","P001","depositor"
"SAMEA103883933","UKKi023-A vial 20","SAMEA17630668","SAMEA17631418","SAMEG317574","P001","depositor"
"SAMEA103883944","UKKi023-A vial 21","SAMEA17630668","SAMEA17631418","SAMEG317574","P001","depositor"
"SAMEA103883929","UKKi023-A vial 22","SAMEA17630668","SAMEA17631418","SAMEG317574","P001","depositor"
"SAMEA103883940","UKKi023-A vial 23","SAMEA17630668","SAMEA17631418","SAMEG317574","P001","depositor"
"SAMEA103883924","UKKi023-A vial 24","SAMEA17630668","SAMEA17631418","SAMEG317574","P001","depositor"
"SAMEA103883936","UKKi023-A vial 25","SAMEA17630668","SAMEA17631418","SAMEG317574","P001","depositor"
"SAMEA103885590","UKKi023-A vial 26","SAMEA17630668","SAMEA17631418","SAMEG317574","P001","depositor"
"SAMEA103885595","UKKi023-A vial 27","SAMEA17630668","SAMEA17631418","SAMEG317574","P001","depositor"
"SAMEA103885613","UKKi023-A vial 28","SAMEA17630668","SAMEA17631418","SAMEG317574","P001","depositor"
"SAMEA103885604","UKKi023-A vial 29","SAMEA17630668","SAMEA17631418","SAMEG317574","P001","depositor"
"SAMEA103885609","UKKi023-A vial 30","SAMEA17630668","SAMEA17631418","SAMEG317574","P001","depositor"
"SAMEA103885601","UKKi023-A vial 31","SAMEA17630668","SAMEA17631418","SAMEG317574","P001","depositor"
"SAMEA103885606","UKKi023-A vial 32","SAMEA17630668","SAMEA17631418","SAMEG317574","P001","depositor"
"SAMEA103885599","UKKi023-A vial 33","SAMEA17630668","SAMEA17631418","SAMEG317574","P001","depositor"
"SAMEA103885593","UKKi023-A vial 34","SAMEA17630668","SAMEA17631418","SAMEG317574","P001","depositor"
"SAMEA103885611","UKKi023-A vial 35","SAMEA17630668","SAMEA17631418","SAMEG317574","P001","depositor"
"SAMEA103885603","UKKi023-A vial 36","SAMEA17630668","SAMEA17631418","SAMEG317574","P001","depositor"
"SAMEA103885596","UKKi023-A vial 37","SAMEA17630668","SAMEA17631418","SAMEG317574","P001","depositor"
"SAMEA103885600","UKKi023-A vial 38","SAMEA17630668","SAMEA17631418","SAMEG317574","P001","depositor"
"SAMEA103885594","UKKi023-A vial 39","SAMEA17630668","SAMEA17631418","SAMEG317574","P001","depositor"
"SAMEA103885597","UKKi023-A vial 40","SAMEA17630668","SAMEA17631418","SAMEG317574","P001","depositor"
"SAMEA103885591","UKKi023-A vial 41","SAMEA17630668","SAMEA17631418","SAMEG317574","P001","depositor"
"SAMEA103885608","UKKi023-A vial 42","SAMEA17630668","SAMEA17631418","SAMEG317574","P001","depositor"
"SAMEA103885614","UKKi023-A vial 43","SAMEA17630668","SAMEA17631418","SAMEG317574","P001","depositor"
"SAMEA103885605","UKKi023-A vial 44","SAMEA17630668","SAMEA17631418","SAMEG317574","P001","depositor"
"SAMEA103885598","UKKi023-A vial 45","SAMEA17630668","SAMEA17631418","SAMEG317574","P001","depositor"
"SAMEA103885592","UKKi023-A vial 46","SAMEA17630668","SAMEA17631418","SAMEG317574","P001","depositor"
