vial,vial name,vial sub,line,line sub,hESCreg,donor,donor sub,batch
SAMEA3105767,BIONi010-A vial 01,GSB-133,SAMEA3105765,GSB-133,BIONi010-A,SAMEA3105780,GSB-133,SAMEG301526
SAMEA3105806,BIONi010-A vial 02,GSB-133,SAMEA3105765,GSB-133,BIONi010-A,SAMEA3105780,GSB-133,SAMEG301526
SAMEA3105808,BIONi010-A vial 03,GSB-133,SAMEA3105765,GSB-133,BIONi010-A,SAMEA3105780,GSB-133,SAMEG301526
SAMEA3105798,BIONi010-A vial 04,GSB-133,SAMEA3105765,GSB-133,BIONi010-A,SAMEA3105780,GSB-133,SAMEG301526
SAMEA3105786,BIONi010-A vial 05,GSB-133,SAMEA3105765,GSB-133,BIONi010-A,SAMEA3105780,GSB-133,SAMEG301526
SAMEA3105766,BIONi010-A vial 06,GSB-133,SAMEA3105765,GSB-133,BIONi010-A,SAMEA3105780,GSB-133,SAMEG301526
SAMEA3105812,BIONi010-A vial 07,GSB-133,SAMEA3105765,GSB-133,BIONi010-A,SAMEA3105780,GSB-133,SAMEG301526
SAMEA3105796,BIONi010-A vial 08,GSB-133,SAMEA3105765,GSB-133,BIONi010-A,SAMEA3105780,GSB-133,SAMEG301526
SAMEA3105778,BIONi010-A vial 09,GSB-133,SAMEA3105765,GSB-133,BIONi010-A,SAMEA3105780,GSB-133,SAMEG301526
SAMEA3105792,BIONi010-A vial 10,GSB-133,SAMEA3105765,GSB-133,BIONi010-A,SAMEA3105780,GSB-133,SAMEG301526
SAMEA3105809,BIONi010-A vial 11,GSB-133,SAMEA3105765,GSB-133,BIONi010-A,SAMEA3105780,GSB-133,SAMEG301526
SAMEA3105769,BIONi010-A vial 12,GSB-133,SAMEA3105765,GSB-133,BIONi010-A,SAMEA3105780,GSB-133,SAMEG301526
SAMEA3105785,BIONi010-A vial 13,GSB-133,SAMEA3105765,GSB-133,BIONi010-A,SAMEA3105780,GSB-133,SAMEG301526
SAMEA3105773,BIONi010-A vial 14,GSB-133,SAMEA3105765,GSB-133,BIONi010-A,SAMEA3105780,GSB-133,SAMEG301526
SAMEA3105782,BIONi010-A vial 15,GSB-133,SAMEA3105765,GSB-133,BIONi010-A,SAMEA3105780,GSB-133,SAMEG301526
SAMEA3105771,BIONi010-A vial 16,GSB-133,SAMEA3105765,GSB-133,BIONi010-A,SAMEA3105780,GSB-133,SAMEG301526
SAMEA3105802,BIONi010-A vial 17,GSB-133,SAMEA3105765,GSB-133,BIONi010-A,SAMEA3105780,GSB-133,SAMEG301526
SAMEA3105788,BIONi010-A vial 18,GSB-133,SAMEA3105765,GSB-133,BIONi010-A,SAMEA3105780,GSB-133,SAMEG301526
SAMEA3105775,BIONi010-A vial 19,GSB-133,SAMEA3105765,GSB-133,BIONi010-A,SAMEA3105780,GSB-133,SAMEG301526
SAMEA3105795,BIONi010-A vial 20,GSB-133,SAMEA3105765,GSB-133,BIONi010-A,SAMEA3105780,GSB-133,SAMEG301526
SAMEA3105810,BIONi010-A vial 21,GSB-133,SAMEA3105765,GSB-133,BIONi010-A,SAMEA3105780,GSB-133,SAMEG301526
SAMEA3105768,BIONi010-A vial 22,GSB-133,SAMEA3105765,GSB-133,BIONi010-A,SAMEA3105780,GSB-133,SAMEG301526
SAMEA3105781,BIONi010-A vial 23,GSB-133,SAMEA3105765,GSB-133,BIONi010-A,SAMEA3105780,GSB-133,SAMEG301526
SAMEA3105800,BIONi010-A vial 24,GSB-133,SAMEA3105765,GSB-133,BIONi010-A,SAMEA3105780,GSB-133,SAMEG301526
SAMEA3105787,BIONi010-A vial 25,GSB-133,SAMEA3105765,GSB-133,BIONi010-A,SAMEA3105780,GSB-133,SAMEG301526
SAMEA3105803,BIONi010-A vial 26,GSB-133,SAMEA3105765,GSB-133,BIONi010-A,SAMEA3105780,GSB-133,SAMEG301526
SAMEA3105763,BIONi010-A vial 27,GSB-133,SAMEA3105765,GSB-133,BIONi010-A,SAMEA3105780,GSB-133,SAMEG301526
SAMEA3105784,BIONi010-A vial 28,GSB-133,SAMEA3105765,GSB-133,BIONi010-A,SAMEA3105780,GSB-133,SAMEG301526
SAMEA3105801,BIONi010-A vial 29,GSB-133,SAMEA3105765,GSB-133,BIONi010-A,SAMEA3105780,GSB-133,SAMEG301526
SAMEA3105793,BIONi010-A vial 30,GSB-133,SAMEA3105765,GSB-133,BIONi010-A,SAMEA3105780,GSB-133,SAMEG301526
SAMEA3105804,BIONi010-A vial 31,GSB-133,SAMEA3105765,GSB-133,BIONi010-A,SAMEA3105780,GSB-133,SAMEG301526
SAMEA3105761,BIONi010-A vial 32,GSB-133,SAMEA3105765,GSB-133,BIONi010-A,SAMEA3105780,GSB-133,SAMEG301526
SAMEA3105783,BIONi010-A vial 33,GSB-133,SAMEA3105765,GSB-133,BIONi010-A,SAMEA3105780,GSB-133,SAMEG301526
SAMEA3105797,BIONi010-A vial 34,GSB-133,SAMEA3105765,GSB-133,BIONi010-A,SAMEA3105780,GSB-133,SAMEG301526
SAMEA3105811,BIONi010-A vial 35,GSB-133,SAMEA3105765,GSB-133,BIONi010-A,SAMEA3105780,GSB-133,SAMEG301526
SAMEA3105805,BIONi010-A vial 36,GSB-133,SAMEA3105765,GSB-133,BIONi010-A,SAMEA3105780,GSB-133,SAMEG301526
SAMEA3105764,BIONi010-A vial 37,GSB-133,SAMEA3105765,GSB-133,BIONi010-A,SAMEA3105780,GSB-133,SAMEG301526
SAMEA3105777,BIONi010-A vial 38,GSB-133,SAMEA3105765,GSB-133,BIONi010-A,SAMEA3105780,GSB-133,SAMEG301526
SAMEA3105794,BIONi010-A vial 39,GSB-133,SAMEA3105765,GSB-133,BIONi010-A,SAMEA3105780,GSB-133,SAMEG301526
