"ECACC cat numbers","Name"
66540003,"UKBi008-A"
66540004,"UKBi006-A"
66540001,"UKKi007-A"
66540002,"UKKi009-A"
66540005,"UKBi002-A"
66540006,"UKBi001-A"
66540007,"UKBi003-A"
66540008,"UKBi005-A"
66540009,"UKBi004-A"
66540010,"UKKi011-A"
66540011,"UKBi007-A"
66540012,"UNEWi018-A"
66540013,"UKKi007-B"
66540014,"RCi004-B"
66540015,"UKKi008-A"
66540016,"RCi001-A"
66540017,"UNEWi004-A"
66540018,"UKKi006-A"
66540019,"UKKi012-A"
66540020,"UNEWi005-A"
66540021,"UNEWi019-A"
66540022,"BIONi010-A"
66540023,"BIONi010-C"
66540024,"RCi004-A"
66540025,"RBi001-A"
66540026,"HUBi007-A"
66540027,"UCLi003-A"
66540028,"UCLi001-A"
66540029,"UCLi002-A"
66540030,"BIONi010-B"
66540032,"UKKi009-B"
66540033,"WTSIi037-A"
66540034,"WTSIi038-A"
66540035,"WTSIi039-A"
66540036,"WTSIi040-A"
66540037,"WTSIi041-A"
66540038,"WTSIi042-A"
66540039,"UNEWi001-A"
66540040,"UNEWi002-A"
66540041,"UNEWi011-A"
66540042,"HUBi001-A"
66540043,"UKBi001-B"
66540044,"RCi005-A"
66540045,"RCi007-A"
66540046,"WTSIi052-A"
66540047,"HUBi008-A"
66540048,"RCi001-B"
66540049,"RCi002-A"
66540050,"RCi002-B"
66540051,"RCi003-A"
66540052,"RCi003-B"
66540053,"HUBi003-A"
66540054,"HUBi004-A"
66540055,"HUBi005-A"
66540057,"UNEWi017-A"
66540058,"EDi001-A"
66540059,"EDi002-A"
66540060,"EDi008-A"
66540061,"EDi008-B"
66540062,"EDi009-A"
66540063,"ESi001-A"
66540064,"ESi003-A"
66540065,"ESi005-A"
66540066,"ESi008-A"
66540067,"ESi002-A"
66540068,"ESi006-A"
66540069,"ESi004-A"
66540070,"ESi007-A"
66540071,"WTSIi001-A"
66540072,"WTSIi002-A"
66540073,"WTSIi003-A"
66540074,"WTSIi004-A"
66540075,"WTSIi005-A"
66540076,"WTSIi006-A"
66540077,"WTSIi007-A"
66540078,"WTSIi008-A"
66540079,"WTSIi009-A"
66540080,"WTSIi010-A"
66540081,"WTSIi011-A"
66540082,"WTSIi012-A"
66540083,"WTSIi013-A"
66540084,"WTSIi014-A"
66540085,"WTSIi015-A"
66540086,"WTSIi016-A"
66540087,"WTSIi017-A"
66540088,"WTSIi018-A"
66540089,"WTSIi019-A"
66540090,"WTSIi020-A"
66540091,"WTSIi021-A"
66540092,"WTSIi022-A"
66540093,"WTSIi023-A"
66540094,"WTSIi024-A"
66540095,"WTSIi025-A"
66540096,"WTSIi026-A"
66540097,"WTSIi027-A"
66540098,"WTSIi028-A"
66540099,"WTSIi029-A"
66540100,"WTSIi030-A"
66540101,"WTSIi031-A"
66540102,"WTSIi032-A"
66540103,"WTSIi033-A"
66540104,"WTSIi034-A"
66540105,"WTSIi035-A"
66540106,"WTSIi036-A"
66540107,"RCi006-A"
66540108,"WTSIi004-B"
66540109,"WTSIi005-B"
66540110,"WTSIi006-B"
66540111,"WTSIi010-B"
66540112,"WTSIi014-B"
66540113,"WTSIi015-B"
66540114,"WTSIi021-B"
66540115,"WTSIi022-B"
66540116,"WTSIi025-B"
66540117,"WTSIi038-B"
66540118,"WTSIi044-A"
66540119,"WTSIi045-A"
66540120,"WTSIi046-A"
66540121,"WTSIi047-A"
66540122,"WTSIi047-B"
66540123,"UCLi004-A"
66540124,"HUBi002-A"
66540125,"WTSIi049-B"
66540126,"WTSIi049-A"
66540127,"WTSIi048-A"
66540128,"WTSIi030-B"
66540129,"WTSIi019-B"
66540130,"WTSIi070-B"
66540131,"WTSIi070-A"
66540132,"WTSIi068-A"
66540133,"WTSIi067-A"
66540134,"WTSIi067-B"
66540135,"WTSIi066-B"
66540136,"WTSIi066-A"
66540137,"WTSIi065-B"
66540138,"WTSIi065-A"
66540139,"WTSIi064-A"
66540140,"WTSIi063-A"
66540141,"WTSIi062-A"
66540142,"WTSIi061-A"
66540143,"WTSIi060-A"
66540144,"WTSIi059-A"
66540145,"WTSIi058-A"
66540146,"WTSIi057-A"
66540147,"WTSIi056-A"
66540148,"WTSIi055-A"
66540149,"WTSIi054-A"
66540150,"WTSIi053-A"
66540151,"WTSIi051-A"
66540152,"WTSIi050-A"
66540153,"WTSIi069-A"
66540154,"UCLi004-B"
66540157,"PFIZi006-A"
66540158,"PFIZi007-A"
66540160,"PFIZi008-A"
66540162,"RCi007-B"
66540163,"RCi007-C"
66540164,"PFIZi009-A"
66540165,"UCLi004-C"
66540166,"EDi001-A-1"
66540167,"EDi001-A-2"
66540168,"EDi001-A-3"
66540169,"EDi001-A-4"
66540170,"PFIZi010-A"
66540171,"PFIZi010-B"
66540172,"PFIZi010-C"
66540174,"UNEWi021-A"
66540175,"UNEWi021-B"
66540176,"UNEWi021-C"
66540177,"UNEWi022-A"
66540178,"UNEWi022-B"
66540179,"UNEWi022-C"
66540180,"WTSIi018-B"
66540181,"WTSIi012-B"
66540182,"WTSIi042-B"
66540183,"WTSIi071-A"
66540184,"WTSIi072-A"
66540185,"WTSIi073-A"
66540186,"WTSIi074-A"
66540187,"WTSIi017-B"
66540188,"WTSIi075-A"
66540189,"WTSIi076-A"
66540190,"WTSIi077-A"
66540191,"WTSIi078-A"
66540192,"WTSIi011-B"
66540193,"WTSIi071-B"
66540194,"WTSIi079-A"
66540195,"WTSIi080-A"
66540196,"WTSIi081-A"
66540197,"WTSIi081-B"
66540198,"WTSIi083-A"
66540199,"WTSIi084-A"
66540200,"WTSIi084-B"
66540201,"WTSIi086-A"
66540202,"WTSIi087-A"
66540203,"WTSIi088-A"
66540204,"WTSIi089-A"
66540205,"WTSIi090-A"
66540206,"WTSIi091-A"
66540207,"WTSIi092-A"
66540208,"WTSIi093-A"
66540209,"WTSIi094-A"
66540210,"WTSIi095-A"
66540211,"WTSIi096-A"
66540212,"WTSIi097-A"
66540213,"WTSIi097-B"
66540214,"WTSIi099-A"
66540215,"WTSIi100-A"
66540216,"WTSIi101-A"
66540217,"WTSIi102-A"
66540218,"WTSIi102-B"
66540219,"WTSIi104-A"
66540220,"WTSIi104-B"
66540221,"WTSIi106-A"
66540222,"WTSIi107-A"
66540223,"WTSIi107-B"
66540226,"LUBi001-A"
66540227,"PFIZi011-A"
66540228,"PFIZi012-A"
66540229,"BIONi010-C-1"
66540230,"WTSIi130-A"
66540231,"WTSIi131-A"
66540232,"WTSIi105-B"
66540233,"WTSIi132-A"
66540234,"WTSIi109-B"
66540235,"WTSIi133-A"
66540236,"WTSIi133-B"
66540237,"WTSIi134-A"
66540238,"WTSIi134-B"
66540239,"WTSIi020-B"
66540240,"WTSIi135-A"
66540241,"WTSIi113-B"
66540242,"WTSIi057-B"
66540243,"WTSIi136-A"
66540244,"WTSIi137-A"
66540245,"WTSIi137-B"
66540246,"WTSIi138-A"
66540247,"WTSIi054-B"
66540248,"WTSIi139-A"
66540249,"WTSIi140-A"
66540250,"WTSIi141-A"
66540251,"WTSIi142-A"
66540252,"WTSIi143-A"
66540253,"WTSIi073-B"
66540254,"WTSIi144-A"
66540255,"WTSIi046-B"
66540256,"WTSIi145-A"
66540257,"WTSIi146-A"
66540258,"LUBi001-B"
66540259,"LUBi001-C"
66540260,"RCi009-A"
66540261,"WTSIi023-B"
66540262,"BIONi011-A"
66540263,"BIONi012-A"
66540264,"BIONi013-A"
66540265,"BIONi014-A"
66540266,"BIONi015-A"
66540267,"BIONi016-A"
66540268,"BIONi010-C-2"
66540269,"BIONi010-C-3"
66540270,"WTSIi110-A"
66540271,"WTSIi111-A"
66540272,"WTSIi112-A"
66540273,"WTSIi113-A"
66540274,"WTSIi068-B"
66540275,"WTSIi105-A"
66540276,"WTSIi108-A"
66540277,"WTSIi109-A"
66540278,"WTSIi114-A"
66540279,"WTSIi115-A"
66540280,"WTSIi116-A"
66540281,"WTSIi117-A"
66540282,"WTSIi118-A"
66540283,"WTSIi119-A"
66540284,"WTSIi120-A"
66540285,"WTSIi121-A"
66540286,"WTSIi121-B"
66540287,"WTSIi122-A"
66540288,"WTSIi123-A"
66540289,"WTSIi124-A"
66540290,"WTSIi124-B"
66540291,"WTSIi125-A"
66540292,"WTSIi126-A"
66540293,"WTSIi127-A"
66540294,"WTSIi128-A"
66540295,"WTSIi129-A"
66540296,"WTSIi082-A"
66540297,"WTSIi085-A"
66540298,"WTSIi098-A"
66540301,"WTSIi147-A"
66540302,"WTSIi148-A"
66540303,"WTSIi149-A"
66540304,"WTSIi150-A"
66540305,"WTSIi151-A"
66540306,"WTSIi152-A"
66540307,"WTSIi153-A"
66540308,"WTSIi154-A"
66540309,"WTSIi155-A"
66540310,"WTSIi156-A"
66540311,"WTSIi157-A"
66540312,"WTSIi158-A"
66540313,"WTSIi159-A"
66540314,"WTSIi160-A"
66540315,"WTSIi161-A"
66540316,"WTSIi162-A"
66540317,"WTSIi163-A"
66540318,"WTSIi164-A"
66540319,"WTSIi165-A"
66540320,"WTSIi166-A"
66540321,"WTSIi167-A"
66540322,"PFIZi013-A"
66540323,"UNEWi024-A"
66540324,"UNEWi024-B"
66540325,"UNEWi024-C"
66540326,"SIGi001-A-6"
66540327,"SIGi001-A-9"
66540328,"UNEWi025-A"
66540329,"UNEWi025-B"
66540330,"UNEWi025-C"
66540331,"SIGi001-A-3"
66540332,"SIGi001-A-4"
66540333,"SIGi001-A-5"
66540334,"SIGi001-A-7"
66540335,"SIGi001-A-8"
66540336,"WTSIi168-A"
66540337,"WTSIi169-A"
66540338,"WTSIi170-A"
66540339,"WTSIi170-B"
66540340,"WTSIi171-A"
66540341,"WTSIi171-B"
66540342,"WTSIi172-A"
66540343,"WTSIi172-B"
66540344,"WTSIi173-A"
66540345,"WTSIi174-A"
66540346,"WTSIi175-A"
66540347,"WTSIi176-A"
66540348,"WTSIi176-B"
66540349,"WTSIi177-A"
66540350,"WTSIi178-A"
66540351,"WTSIi178-B"
66540352,"WTSIi179-A"
66540353,"WTSIi180-A"
66540354,"WTSIi181-A"
66540355,"WTSIi182-A"
66540356,"SIGi001-A-1"
66540357,"SIGi001-A-2"
66540358,"SIGi001-A-10"
66540359,"SIGi001-A-11"
66540360,"BIONi017-A"
66540361,"BIONi018-A"
66540362,"BIONi019-A"
66540363,"BIONi020-A"
66540364,"BIONi021-A"
66540365,"BIONi022-A"
66540366,"BIONi010-C-4"
66540367,"BIONi010-C-5"
66540368,"BIONi010-C-6"
66540369,"BIONi010-C-7"
66540370,"BIONi010-C-8"
66540371,"BIONi010-C-9"
66540372,"BIONi023-A"
66540373,"BIONi024-A"
66540374,"BIONi025-A"
66540375,"PFIZi014-A"
66540376,"PFIZi015-A"
66540377,"PFIZi016-A"
66540378,"WTSIi168-B"
66540379,"WTSIi174-B"
66540380,"WTSIi183-A"
66540381,"WTSIi183-B"
66540382,"WTSIi184-A"
66540383,"WTSIi185-A"
66540384,"UOXFi001-A"
66540385,"UOXFi001-B"
66540386,"UOXFi001-C"
66540387,"UOXFi001-D"
66540388,"UOXFi002-A"
66540389,"UOXFi002-B"
66540390,"UOXFi002-C"
66540391,"UOXFi003-A"
66540392,"UOXFi003-C"
66540393,"UOXFi004-A"
66540394,"UOXFi004-B"
66540395,"UOXFi005-A"
66540396,"UOXFi005-B"
66540397,"UOXFi005-C"
66540398,"UOXFi006-A"
66540399,"BIONi026-A"
66540400,"BIONi027-A"
66540401,"BIONi028-A"
66540402,"BIONi029-A"
66540403,"BIONi030-A"
66540404,"BIONi031-A"
66540405,"BIONi032-A"
66540406,"UNEWi027-A"
66540408,"WTSIi169-B"
66540409,"WTSIi180-B"
66540410,"WTSIi184-B"
66540411,"WTSIi186-A"
66540412,"WTSIi187-A"
66540413,"WTSIi188-A"
66540414,"WTSIi189-A"
66540415,"WTSIi190-A"
66540416,"WTSIi190-B"
66540417,"WTSIi191-A"
66540418,"PFIZi017-A"
66540419,"PFIZi018-A"
66540420,"PFIZi019-A"
66540421,"PFIZi020-A"
66540422,"PFIZi021-A"
66540423,"BIONi033-A"
66540424,"BIONi034-A"
66540425,"BIONi035-A"
66540426,"WTSIi192-A"
66540427,"WTSIi193-A"
66540428,"WTSIi194-A"
66540429,"WTSIi195-A"
66540430,"WTSIi195-B"
66540431,"WTSIi196-A"
66540432,"WTSIi197-A"
66540433,"WTSIi198-A"
66540434,"WTSIi199-A"
66540435,"WTSIi200-A"
66540436,"WTSIi201-A"
66540437,"WTSIi202-A"
66540438,"WTSIi203-A"
66540439,"WTSIi204-A"
66540440,"WTSIi205-A"
66540441,"UNEWi023-A"
66540442,"UNEWi023-B"
66540443,"UNEWi023-C"
66540444,"UNEWi026-A"
66540445,"UNEWi026-B"
66540446,"UNEWi026-C"
66540447,"EDi010-A"
66540448,"EDi010-B"
66540449,"EDi011-A"
66540450,"EDi011-B"
66540451,"EDi011-C"
66540452,"EDi012-A"
66540453,"EDi012-B"
66540454,"EDi012-C"
66540455,"EDi013-A"
66540456,"EDi013-B"
66540457,"EDi013-C"
66540458,"EDi014-A"
66540459,"EDi014-B"
66540460,"EDi015-A"
66540461,"EDi015-B"
66540462,"EDi015-C"
66540463,"EDi016-A"
66540464,"EDi016-B"
66540465,"EDi016-C"
66540466,"EDi017-A"
66540467,"EDi017-B"
66540468,"EDi017-C"
66540469,"EDi018-A"
66540470,"EDi018-B"
66540471,"EDi018-C"
66540472,"EDi019-A"
66540473,"EDi019-B"
66540474,"EDi019-C"
66540475,"UKKi017-A"
66540476,"UKKi017-B"
66540477,"UKKi017-C"
66540478,"UKKi018-A"
66540479,"UKKi018-B"
66540480,"UKKi019-A"
66540481,"UKKi019-B"
66540482,"UKKi019-C"
66540483,"UKKi020-A"
66540484,"UKKi022-A"
66540485,"UKKi023-A"
66540486,"UKKi023-B"
66540487,"UKKi023-C"
66540488,"UKKi024-A"
66540489,"UKKi024-B"
66540490,"UKKi024-C"
66540491,"UKKi025-A"
66540492,"UKKi025-B"
66540493,"UKKi025-C"
66540494,"EDi014-C"
66540495,"ESi037-A"
66540496,"HUBi001-A-1"
66540497,"HUBi001-A-2"
66540498,"PFIZi013-B"
66540499,"SIGi001-A"
66540500,"WTSIi103-A"
66540501,"WTSIi106-B"
