CELLLINEORGANIZATION,CELLLINEORGSTATUS,ORGREGDATE,IDCELLLINEORGANIZATION,ORGCELLLINE,CELLLINEORGTYPE
1,1,2015-01-01T00:00:00,1,1,2
1,1,2015-01-01T00:00:00,2,2,2
1,1,2015-01-01T00:00:00,3,3,2
1,1,2015-01-01T00:00:00,4,4,2
1,1,2015-01-01T00:00:00,5,5,2
1,1,2015-01-01T00:00:00,6,6,2
1,1,2015-01-01T00:00:00,7,7,2
1,1,2015-01-01T00:00:00,8,8,2
1,1,2015-01-01T00:00:00,9,9,2
1,1,2015-01-01T00:00:00,10,10,2
1,1,2015-01-01T00:00:00,11,11,2
2,1,2015-01-01T00:00:00,12,12,2
2,1,2015-01-01T00:00:00,13,13,2
2,1,2015-01-01T00:00:00,14,14,2
2,1,2015-01-01T00:00:00,15,15,2
2,1,2015-01-01T00:00:00,16,16,2
2,1,2015-01-01T00:00:00,17,17,2
2,1,2015-01-01T00:00:00,18,18,2
2,1,2015-01-01T00:00:00,19,19,2
2,1,2015-01-01T00:00:00,20,20,2
3,1,2015-01-01T00:00:00,21,21,2
3,1,2015-01-01T00:00:00,22,22,2
3,1,2015-01-01T00:00:00,23,23,2
3,1,2015-01-01T00:00:00,24,24,2
3,1,2015-01-01T00:00:00,25,25,2
3,1,2015-01-01T00:00:00,26,26,2
3,1,2015-01-01T00:00:00,27,27,2
3,1,2015-01-01T00:00:00,28,28,2
3,1,2015-01-01T00:00:00,29,29,2
4,1,2015-01-01T00:00:00,30,30,2
4,1,2015-01-01T00:00:00,31,31,2
4,1,2015-01-01T00:00:00,32,32,2
4,1,2015-01-01T00:00:00,33,33,2
4,1,2015-01-01T00:00:00,34,34,2
4,1,2015-01-01T00:00:00,35,35,2
4,1,2015-01-01T00:00:00,36,36,2
4,1,2015-01-01T00:00:00,37,37,2
5,1,2015-01-01T00:00:00,38,38,2
5,1,2015-01-01T00:00:00,39,39,2
5,1,2015-01-01T00:00:00,40,40,2
5,1,2015-01-01T00:00:00,41,41,2
5,1,2015-01-01T00:00:00,42,42,2
5,1,2015-01-01T00:00:00,43,43,2
5,1,2015-01-01T00:00:00,44,44,2
5,1,2015-01-01T00:00:00,45,45,2
6,1,2015-01-01T00:00:00,46,46,2
6,1,2015-01-01T00:00:00,47,47,2
6,1,2015-01-01T00:00:00,48,48,2
6,1,2015-01-01T00:00:00,49,49,2
6,1,2015-01-01T00:00:00,50,50,2
6,1,2015-01-01T00:00:00,51,51,2
6,1,2015-01-01T00:00:00,52,52,2
6,1,2015-01-01T00:00:00,53,53,2
7,1,2015-01-01T00:00:00,54,55,2
7,1,2015-01-01T00:00:00,55,56,2
7,1,2015-01-01T00:00:00,56,57,2
7,1,2015-01-01T00:00:00,57,58,2
7,1,2015-01-01T00:00:00,58,59,2
7,1,2015-01-01T00:00:00,59,60,2
7,1,2015-01-01T00:00:00,60,61,2
