TREATMENTBEFORECOLLECTION_ID,CELLLINESTATUS_ID,CELLDONOR_ID,IDCELLLINE,BIOSAMPLESID,CELLLINENAME,CELLLINECOLLECTION,DONATEDCELLTYPE,DEPOSITORSCELLLINENAME,CELLLINEALTNAMES,CELLLINEDEPOSITORSURI,CELLLINETISSUESOURCE,CELLLINETISSUEDATE,DISEASEAREA,DISEASE,DISEASECOMMENTS,CELLLINEREGDATE
1,1,1,1,SAMEA 2614016,UKBi001-A,,1,LB-29-r2,,,1,,1,2,,2015-01-01T00:00:00
,1,2,2,SAMEA 2591001,UKBi002-A,,1,LB-36-r2,,,1,,2,1,,2015-01-01T00:00:00
,1,3,3,SAMEA 2614075,UKBi003-A,,1,LB-32-r9,,,1,,1,2,,2015-01-01T00:00:00
,1,4,4,SAMEA 4583828,UKBi004-A,,1,LB-30-r12,,,1,,2,1,,2015-01-01T00:00:00
,1,5,5,SAMEA 4584351,UKBi005-A,,1,LB-31-r1,,,1,,0,1,,2015-01-01T00:00:00
,1,6,6,SAMEA 2590892,UKBi006-A,,1,LB-35-r1,,,1,,0,1,,2015-01-01T00:00:00
,1,7,7,SAMEA2825788,UKBi007-A,,1,LB-33-r5,,,1,,1,2,,2015-01-01T00:00:00
,1,8,8,SAMEA 2590985,UKBi008-A,,1,LB-34-r1,,,1,,1,2,,2015-01-01T00:00:00
,1,49,9,UNASSIGNED1,UNASSIGNED1,,,LB-21-r1,,,,,3,3,,2015-01-01T00:00:00
,1,49,10,UNASSIGNED2,UNASSIGNED2,,,LB-23-s1,,,,,3,3,,2015-01-01T00:00:00
,1,49,11,UNASSIGNED3,UNASSIGNED3,,,LB-24-s3,,,,,3,3,,2015-01-01T00:00:00
,1,9,12,SAMEA2825964,UKKi012-A,,1,NP0041-20,,,1,,0,1,,2015-01-01T00:00:00
,1,10,13,SAMEA2825851,UKKi006-A,,2,NP0053-5,,,2,,0,1,,2015-01-01T00:00:00
,1,11,14,SAMEA2774610,UKKi0011-A,,1,NP0040-8,,,1,,0,1,,2015-01-01T00:00:00
,1,12,15,SAMEA 2629464,UKKi007-A,,1,NP0014-6,,,1,,4,4,,2015-01-01T00:00:00
,1,12,16,SAMEA 2698638,UKKi007-B,,1,NP0014-1,,,1,,4,4,,2015-01-01T00:00:00
,1,13,17,SAMEA 4583697,UKKi008-A,,1,NP0016-1,,,1,,4,5,,2015-01-01T00:00:00
,1,14,18,SAMEA 4583816,UKKi009-A,,1,NP0012-8,,,1,,4,5,,2015-01-01T00:00:00
,1,14,19,SAMEA2825897,UKKi009-B,,1,NP0012-19,,,1,,4,5,,2015-01-01T00:00:00
,2,49,20,UNASSIGNED4,UNASSIGNED4,,1,NP0015-16,,,1,,,6,,2015-01-01T00:00:00
,1,15,21,SAMEA 2629641,UNEWi001-A,,1,PRPF31 HD,,,1,,5,7,,2015-01-01T00:00:00
,1,16,22,SAMEA 2629491,UNEWi002-A,,1,PRPF31 AW,,,1,,5,7,,2015-01-01T00:00:00
